,rx,semivar_x,semivar_x_norm,ry,semivar_y,semivar_y_norm
0,0,0.0,0.0,0,0.0,0.0
1,1,4.512,0.1788886069525501,1,4.1056,0.17342525006758583
2,2,7.1296,0.2826693732555189,2,6.6048,0.27899432278994324
3,3,8.7392,0.3464856635371733,3,8.3392,0.352257366855907
4,4,9.9936,0.3962192336970312,4,9.6672,0.4083536090835361
5,5,11.1392,0.44163917787363616,5,10.7136,0.4525547445255474
6,6,12.0928,0.479446840903324,6,11.6864,0.493646931603136
7,7,12.8096,0.5078660238518142,7,12.5792,0.531359826980265
8,8,13.4592,0.5336209083988835,8,13.3696,0.5647472289808056
9,9,14.0864,0.5584876934788124,9,14.1184,0.5963773992971073
10,10,14.6816,0.5820857650342552,10,14.7744,0.6240875912408759
11,11,15.1904,0.6022583100735854,11,15.4272,0.6516626115166261
12,12,15.776,0.6254757675716823,12,15.9936,0.67558799675588
13,13,16.1856,0.6417153006851053,13,16.5504,0.6991078669910786
14,14,16.6656,0.6607460035523979,14,17.04,0.7197891321978913
15,15,17.1168,0.678634864247653,15,17.4272,0.7361449040281156
16,16,17.4752,0.692844455721898,16,17.7856,0.7512841308461746
17,17,17.84,0.7073077899010404,17,18.1632,0.7672343876723439
18,18,18.1344,0.7189799543263131,18,18.4928,0.7811570694782373
19,19,18.3328,0.7268459781781273,19,18.8288,0.7953500946201676
20,20,18.5408,0.7350926160872875,20,19.1488,0.808867261422006
21,21,18.8256,0.7463841664552144,21,19.3888,0.8190051365233847
22,22,19.0432,0.7550114184217204,22,19.5904,0.8275209516085428
23,23,19.3056,0.7654148693225069,23,19.7984,0.8363071100297378
24,24,19.5264,0.7741689926414616,24,20.0384,0.8464449851311164
25,25,19.6832,0.7803856889114438,25,20.3392,0.8591511219248447
26,26,19.8112,0.7854605430093885,26,20.6368,0.8717220870505542
27,27,19.9936,0.7926922100989596,27,21.0496,0.8891592322249257
28,28,20.1184,0.7976401928444558,28,21.3984,0.9038929440389294
29,29,20.2528,0.8029687896472977,29,21.7024,0.9167342525006759
30,30,20.3968,0.8086780005074854,30,21.9904,0.9288997026223303
31,31,20.608,0.8170515097690941,31,22.2848,0.9413354960800216
32,32,20.88,0.8278355747272266,32,22.5088,0.9507975128413085
33,33,21.0496,0.8345597564070033,33,22.6272,0.9557988645579886
34,34,21.1616,0.8390002537427049,34,22.7104,0.9593133279264666
35,35,21.3312,0.8457244354224815,35,22.8544,0.9653960529872938
36,36,21.552,0.8544785587414362,36,22.944,0.9691808596918086
37,37,21.7536,0.862471453945699,37,23.0112,0.9720194647201946
38,38,22.0192,0.8730017761989344,38,23.104,0.9759394430927277
39,39,22.2144,0.8807409286983,39,23.1744,0.9789132197891321
40,40,22.3744,0.8870844963207308,40,23.2352,0.9814814814814814
41,41,22.4416,0.8897487947221517,41,23.2608,0.9825628548256286
42,42,22.5408,0.8936818066480589,42,23.2192,0.9808056231413895
43,43,22.5696,0.8948236488200965,43,23.184,0.9793187347931874
44,44,22.6272,0.8971073331641715,44,23.0944,0.9755339280886726
45,45,22.6848,0.8993910175082466,45,23.0176,0.9722898080562314
46,46,22.8064,0.9042121289012941,46,22.9248,0.9683698296836983
47,47,22.8672,0.9066226845978178,47,22.912,0.9678291430116247
48,48,23.008,0.9122050241055569,48,22.9408,0.9690456880237902
49,49,23.1552,0.9180411063181934,49,22.9504,0.9694512030278453
50,50,23.232,0.9210860187769602,50,22.9728,0.970397404703974
51,51,23.2448,0.9215935041867547,51,23.0656,0.9743173830765072
52,52,23.2576,0.9221009895965491,52,23.1264,0.9768856447688564
53,53,23.184,0.919182948490231,53,23.2064,0.980264936469316
54,54,23.1488,0.9177873636132962,54,23.2416,0.9817518248175181
55,55,23.1232,0.9167723927937071,55,23.2032,0.9801297648012975
56,56,23.0592,0.9142349657447348,56,23.1872,0.9794539064612058
57,57,23.04,0.9134737376300431,57,23.1936,0.9797242497972425
58,58,23.04,0.9134737376300431,58,23.1776,0.9790483914571506
59,59,23.0592,0.9142349657447348,59,23.1904,0.9795890781292241
60,60,23.0624,0.9143618370971834,60,23.2064,0.980264936469316
61,61,23.1136,0.9163917787363614,61,23.3408,0.9859421465260881
62,62,23.1936,0.9195635625475768,62,23.488,0.9921600432549337
63,63,23.248,0.9217203755392033,63,23.5328,0.9940524466071912
64,64,23.2384,0.9213397614818574,64,23.5104,0.9931062449310625
65,65,23.3184,0.9245115452930728,65,23.36,0.9867531765341984
66,66,23.4144,0.9283176858665313,66,23.2096,0.9804001081373344
67,67,23.6224,0.9365643237756914,67,23.1168,0.9764801297648014
68,68,23.856,0.9458259325044406,68,23.0976,0.975669099756691
69,69,24.0928,0.9552144125856382,69,23.2448,0.9818869964855367
70,70,24.2912,0.9630804364374524,70,23.3696,0.9871586915382535
71,71,24.4832,0.9706927175843695,71,23.4688,0.9913490132468236
72,72,24.6304,0.9765287997970059,72,23.5232,0.9936469316031359
73,73,24.6848,0.9786856127886323,73,23.5968,0.9967558799675589
74,74,24.7648,0.9818573965998478,74,23.6736,1.0
75,75,24.8096,0.9836335955341283,75,23.648,0.9989186266558528
76,76,24.8352,0.9846485663537173,76,23.6096,0.9972965666396323
77,77,24.8416,0.9849023090586145,77,23.504,0.9928359015950258
78,78,24.9248,0.9882009642222787,78,23.4368,0.9899972965666397
79,79,25.0176,0.9918802334432886,79,23.376,0.9874290348742903
80,80,25.0848,0.9945445318447095,80,23.3056,0.9844552581778858
81,81,25.1872,0.9986044151230652,81,23.1904,0.9795890781292241
82,82,25.1552,0.9973357015985791,82,23.1616,0.9783725331170586
83,83,25.0784,0.9942907891398122,83,23.1232,0.9767504731008381
84,84,24.9696,0.9899771631565593,84,23.152,0.9779670181130036
85,85,24.8928,0.9869322506977924,85,23.1232,0.9767504731008381
86,86,24.8544,0.9854097944684089,86,23.0752,0.9747228980805622
87,87,24.7968,0.9831261101243339,87,23.0752,0.9747228980805622
88,88,24.8192,0.9840142095914741,88,23.024,0.9725601513922681
89,89,24.8608,0.9856635371733063,89,23.0368,0.9731008380643417
90,90,24.96,0.9895965490992135,90,23.0144,0.972154636388213
91,91,25.0272,0.9922608475006344,91,22.9504,0.9694512030278453
92,92,25.0496,0.9931489469677748,92,22.9248,0.9683698296836983
93,93,25.1328,0.9964476021314387,93,22.8256,0.9641795079751284
94,94,25.1712,0.9979700583608221,94,22.6592,0.9571505812381724
95,95,25.1872,0.9986044151230652,95,22.56,0.9529602595296025
96,96,25.2096,0.9994925145902055,96,22.528,0.9516085428494186
97,97,25.2096,0.9994925145902055,97,22.5568,0.9528250878615842
98,98,25.2224,1.0,98,22.576,0.9536361178696945
99,99,25.2128,0.9996193859426542,99,22.5312,0.9517437145174371
